epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4662,1.25862,2.01427,1.60469,0.01842,0.73148,0.09537,0.03703,1.76831,3.48179,2.36307,0.000163889,0.000163889,0.0673861
2,60.7445,1.14311,1.20047,1.49234,0.71809,0.67593,0.6712,0.34888,1.42819,1.98835,2.32822,0.000319647,0.000319647,0.0342085
3,90.6751,1.09096,1.10819,1.44607,0.88157,0.68927,0.81957,0.40104,1.74494,1.5034,2.51652,0.000464406,0.000464406,0.00101996
4,119.659,1.09759,1.05436,1.44264,0.43976,0.40741,0.3677,0.14343,1.965,3.34264,2.66907,0.0004505,0.0004505,0.0004505
5,148.351,1.04777,0.96118,1.40667,0.92885,0.84619,0.93006,0.55693,1.46633,1.12164,1.99406,0.000434,0.000434,0.000434
6,177.149,1.06137,0.93446,1.40825,0.72265,0.58333,0.67522,0.37924,1.45181,1.94548,1.90822,0.0004175,0.0004175,0.0004175
7,205.739,1.02161,0.91822,1.38108,0.74091,0.83333,0.84912,0.52403,1.4191,1.28038,1.92009,0.000401,0.000401,0.000401
8,235.077,0.99147,0.88294,1.35543,0.91836,0.83324,0.91417,0.5645,1.30323,1.03727,1.83466,0.0003845,0.0003845,0.0003845
9,264.458,0.99001,0.82862,1.3724,0.85406,0.87963,0.91958,0.54087,1.26831,1.00847,1.85439,0.000368,0.000368,0.000368
10,293.037,0.94596,0.8066,1.32991,0.83156,0.77708,0.84034,0.50995,1.30416,1.14281,1.95183,0.0003515,0.0003515,0.0003515
11,322.121,0.96375,0.81578,1.34057,0.90165,0.93372,0.97034,0.67858,1.15907,0.75881,1.67867,0.000335,0.000335,0.000335
12,351.057,0.91882,0.75382,1.31723,0.93928,0.83333,0.9256,0.63562,1.26035,0.90622,1.76096,0.0003185,0.0003185,0.0003185
13,380.453,0.91499,0.74727,1.29933,0.84525,0.8598,0.8879,0.58298,1.32654,1.04477,1.8146,0.000302,0.000302,0.000302
14,407.609,0.90085,0.75812,1.29913,0.94087,0.88398,0.92086,0.56418,1.39662,0.91452,1.95757,0.0002855,0.0002855,0.0002855
15,436.042,0.86423,0.70791,1.28627,0.91951,0.91667,0.95728,0.6117,1.27021,0.77129,1.78433,0.000269,0.000269,0.000269
16,464.244,0.86757,0.70467,1.26692,0.89575,0.9537,0.96846,0.66732,1.07631,0.71369,1.63793,0.0002525,0.0002525,0.0002525
17,492.388,0.84801,0.67984,1.26214,0.92313,0.89815,0.94932,0.66628,1.14229,0.76393,1.73051,0.000236,0.000236,0.000236
18,521.394,0.84325,0.66536,1.25362,0.89925,0.91667,0.96945,0.65838,1.17326,0.77534,1.77317,0.0002195,0.0002195,0.0002195
19,549.655,0.84404,0.66104,1.24151,0.93939,0.87963,0.94354,0.65748,1.11459,0.67448,1.65253,0.000203,0.000203,0.000203
20,578.538,0.84196,0.65041,1.24293,0.91913,0.9537,0.98019,0.67314,1.06609,0.61766,1.60629,0.0001865,0.0001865,0.0001865
21,608.447,0.77787,0.56913,1.30316,0.92113,0.96296,0.97478,0.69081,1.09446,0.65146,1.66792,0.00017,0.00017,0.00017
22,634.848,0.74466,0.52036,1.27509,0.92681,0.91667,0.97515,0.68064,1.11182,0.69379,1.593,0.0001535,0.0001535,0.0001535
23,658.511,0.71826,0.46882,1.23947,0.94897,0.9537,0.98242,0.66984,1.10843,0.62506,1.64347,0.000137,0.000137,0.000137
24,683.753,0.67495,0.43795,1.22781,0.95887,0.9537,0.98468,0.70096,1.09429,0.59501,1.62237,0.0001205,0.0001205,0.0001205
25,710.04,0.67948,0.44133,1.23684,0.94611,0.9537,0.97813,0.6961,1.03519,0.55646,1.62552,0.000104,0.000104,0.000104
26,735.225,0.66141,0.44501,1.2092,0.93588,0.94611,0.97848,0.69522,1.12058,0.61713,1.67978,8.75e-05,8.75e-05,8.75e-05
27,760.253,0.633,0.41015,1.19887,0.95403,0.96085,0.98451,0.71587,1.09394,0.58905,1.64953,7.1e-05,7.1e-05,7.1e-05
28,786.511,0.63083,0.39959,1.19104,0.96908,0.94444,0.98548,0.7025,1.0816,0.55019,1.67969,5.45e-05,5.45e-05,5.45e-05
29,812.484,0.60262,0.38637,1.16648,0.96305,0.93519,0.98458,0.70576,1.0582,0.5452,1.63328,3.8e-05,3.8e-05,3.8e-05
30,837.235,0.58587,0.36517,1.15354,0.94609,0.97502,0.98656,0.71211,1.02368,0.52168,1.59613,2.15e-05,2.15e-05,2.15e-05
