epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6405,1.77551,1.40248,1.29262,0.27878,0.4234,0.27621,0.11897,1.77103,1.57406,1.36574,0.000331933,0.000331933,0.0671387
2,124.888,1.70016,1.12424,1.27184,0.32199,0.33695,0.31939,0.11933,2.00171,1.41248,1.48528,0.000643312,0.000643312,0.0341167
3,187.495,1.67817,1.07022,1.26657,0.21115,0.3521,0.25129,0.0857,2.24141,1.41677,1.70004,0.000932692,0.000932692,0.00107275
4,248.513,1.64453,1.02437,1.24972,0.35383,0.35446,0.34611,0.12784,2.06443,1.29055,1.60194,0.000901,0.000901,0.000901
5,309.003,1.6173,0.99718,1.23913,0.2699,0.30279,0.25486,0.09675,2.24475,1.39796,1.72822,0.000868,0.000868,0.000868
6,369.472,1.57722,0.9714,1.22223,0.3118,0.3217,0.28237,0.10101,2.34555,1.40323,1.87411,0.000835,0.000835,0.000835
7,431.199,1.57438,0.96651,1.21939,0.3019,0.38777,0.34313,0.13443,2.24315,1.30102,1.78038,0.000802,0.000802,0.000802
8,494.576,1.56349,0.94066,1.21651,0.37881,0.35058,0.35506,0.14697,2.18143,1.3225,1.68002,0.000769,0.000769,0.000769
9,556.242,1.54012,0.93615,1.2089,0.30778,0.32973,0.28875,0.1126,2.22333,1.34824,1.74777,0.000736,0.000736,0.000736
10,616.403,1.51875,0.90962,1.19576,0.302,0.39409,0.33718,0.12992,2.15559,1.23965,1.74909,0.000703,0.000703,0.000703
11,676.391,1.50455,0.89833,1.19314,0.34266,0.36347,0.36821,0.15201,2.22522,1.22746,1.73275,0.00067,0.00067,0.00067
12,736.06,1.48012,0.89005,1.18411,0.30591,0.36782,0.34543,0.14804,2.11174,1.26181,1.67999,0.000637,0.000637,0.000637
13,796.34,1.46893,0.8708,1.16836,0.31902,0.3743,0.34112,0.13914,2.19115,1.3433,1.7579,0.000604,0.000604,0.000604
14,856.155,1.45758,0.864,1.16765,0.34086,0.3604,0.33035,0.13834,2.12331,1.31407,1.70017,0.000571,0.000571,0.000571
15,916.007,1.45,0.85125,1.16869,0.38661,0.35007,0.3631,0.15948,2.27314,1.30409,1.79728,0.000538,0.000538,0.000538
16,977.58,1.44078,0.84269,1.1621,0.34852,0.37973,0.3583,0.14782,2.24408,1.33699,1.79144,0.000505,0.000505,0.000505
17,1038.23,1.43337,0.84092,1.15795,0.34522,0.3899,0.35001,0.14711,2.14574,1.28473,1.71828,0.000472,0.000472,0.000472
18,1098.2,1.43632,0.84371,1.15627,0.39111,0.35846,0.35612,0.15793,2.27574,1.22979,1.84207,0.000439,0.000439,0.000439
19,1158.11,1.41312,0.82705,1.14665,0.35243,0.34468,0.33906,0.14541,2.04356,1.21887,1.62176,0.000406,0.000406,0.000406
20,1217.96,1.40507,0.81184,1.14431,0.35745,0.40143,0.36797,0.16763,2.12922,1.29214,1.73164,0.000373,0.000373,0.000373
21,1274.59,1.41821,0.80555,1.17681,0.35778,0.36814,0.34938,0.1443,2.29975,1.29212,1.86227,0.00034,0.00034,0.00034
22,1328.46,1.39933,0.79326,1.16774,0.29175,0.39096,0.33691,0.14353,2.28932,1.28077,1.83287,0.000307,0.000307,0.000307
23,1380.39,1.37403,0.78125,1.15594,0.39301,0.36149,0.36108,0.15273,2.09585,1.20624,1.65457,0.000274,0.000274,0.000274
24,1433.85,1.36996,0.77683,1.15711,0.41143,0.37371,0.35984,0.15884,2.07242,1.19123,1.65707,0.000241,0.000241,0.000241
25,1486.14,1.34695,0.76373,1.14722,0.37076,0.38664,0.35268,0.15755,2.14931,1.27663,1.72782,0.000208,0.000208,0.000208
26,1539.52,1.33868,0.75414,1.1406,0.38836,0.36475,0.36427,0.15554,2.1957,1.22966,1.76411,0.000175,0.000175,0.000175
27,1593.41,1.32797,0.74796,1.13892,0.39557,0.36735,0.36402,0.15489,2.22157,1.27284,1.80515,0.000142,0.000142,0.000142
28,1646.02,1.31936,0.73998,1.1323,0.41427,0.38279,0.35672,0.15176,2.24168,1.27183,1.81382,0.000109,0.000109,0.000109
29,1700.62,1.30864,0.73876,1.12993,0.41543,0.3651,0.35065,0.15626,2.17759,1.23577,1.77145,7.6e-05,7.6e-05,7.6e-05
30,1754.72,1.29831,0.73114,1.12318,0.40135,0.36392,0.35846,0.16019,2.21553,1.25606,1.8104,4.3e-05,4.3e-05,4.3e-05
